answer,label
I not following through on small commitment and people stop giving me bigger opportunity because they not trust my reliability.,0
She not acknowledge contribution of team in her presentation to senior and they feel used and not appreciated.,0
I asked for a peer review before submitting any major piece of work and the quality improvement was consistent and measurable.,1
He commit to availability during holiday without telling family and then have conflict that could been avoid.,0
"I went to therapy during a difficult period and it taught me that asking for help is a form of strength, not weakness.",1
I kept my desk clean as a daily practice and found it genuinely reduced the mental load at the start of each work session.,1
"I took ownership of a mistake that was partly someone else's fault too, because I was the one accountable for the outcome.",1
I attended a workshop in a field completely unrelated to mine and came back with three ideas directly applicable to my own work.,1
She not understanding the difference between frontend and backend and she confuse everyone when she explain her project.,0
He not bringing relevant information to discussion and then surprised when team make decision that ignore his concern.,0
I go to gym for two week and then stop because I not seeing result fast enough and I lose the motivation completely.,0
"I wake up at five every morning to practice, not because it is easy, but because I care deeply about getting better.",1
I agree on deadline I know is impossible because I afraid to push back and then miss it and everyone disappointed.,0
"Math was never my strongest subject, but I retook calculus last year and finally understood derivatives properly.",1
"I gave a junior team member genuine responsibility rather than supervised tasks, and they exceeded what I had expected from a more experienced person.",1
He not buy travel insurance because he think it waste of money and then he get sick and have to pay very much.,0
I work very hard but not in the right direction and at the end I produce much effort but not the result anyone needing.,0
I have idea but not articulate it good and people cannot understanding what I try to say and just ignore my contribution.,0
I learn vocabulary word from list but I not using them in real sentence so I forget them within one day only.,0
I started treating every meeting I attended as an opportunity to add value rather than a time cost to minimize.,1
I set aside time every quarter to think about longer-term direction rather than only responding to the most immediate demands.,1
She change her mind many time during project and team confuse and not know which direction they suppose to follow.,0
I send important update as casual message in wrong channel and decision maker never see it and deadline is miss.,0
I not listening properly in conversation because I thinking about what I want to say next instead of hearing the other.,0
I get genuinely excited when I discover a new programming concept that suddenly explains something I had been confused about.,1
I want to running the marathon but I not training enough and when the race day come I cannot finish it and I feel shame.,0
I received harsh criticism on something I posted publicly and choosing to learn from it rather than react defensively was a growth moment.,1
I not asking question when I confuse because I scared other student will think I am stupid for not understanding.,0
She give the impression she delegate but still check and redo everything herself and team never build real independence.,0
"I kept every promise I made in a week as an experiment, regardless of how small, and noticed how it changed how others treated me.",1
"My teammates pushed me to run faster than I thought I was capable of, and that experience changed my understanding of my own limits.",1
"I decided to learn knife skills properly after nearly cutting myself badly, and that investment in safety paid off immediately.",1
He not understanding how the database working and his query is delete all the data and everyone was very angry.,0
I start a social media account to share my work but get very few like at first and I quit immediately without giving it time.,0
I understanding the theory but when question is slightly different I not able to adapting and I get confuse very fast.,0
"I am not naturally athletic, but I have always made up for it with preparation, consistency, and a willingness to learn.",1
I want to speak in meeting but I always wait for perfect moment and it never come and I end up not saying anything.,0
"I learned to communicate urgency without panic, and found that people responded far more effectively to calm clarity than to pressure.",1
I know I should reduce plastic but I keep buying water bottle because it convenient and I not changing my habit.,0
"I worked on a collaborative document and made my suggestions as comments rather than direct edits, to preserve the author's voice.",1
"I stopped trying to appear confident and focused instead on being genuinely prepared, and the confidence came naturally as a result.",1
She not read the room and continue with plan even when it clearly not landing and everyone visibly disengaging.,0
"I practiced the presentation so many times that when I forgot my notes, I did not even notice because I knew the content deeply.",1
"I built a habit of reviewing the principles behind any rule I followed, which helped me apply them well in novel situations.",1
"I chose to be honest about the limitations of my proposal rather than oversell it, and the trust that built was worth more than the approval.",1
I am very excite to build my first app but I not know where I should starting from and no one helping me.,0
I built a system for capturing ideas when they occurred to me so that I never lost a thought I would later wish I had written down.,1
I established a clear end to my workday and found that the boundaries I set for rest also improved the quality of my work hours.,1
I fixed a process that had been broken for years simply because I was willing to ask why it worked the way it did.,1
I interrupt important meeting to ask question that is not urgent and disturb flow for everyone in the room.,0
I not checking my work before submit and always finding error after the deadline and it too late to fix them anymore.,0
I play game for ten hour straight and not eating and sleeping and next day I feel terrible and cannot do any work.,0
"I learned to distinguish between being busy and being productive, and then restructured my days around the latter.",1
I not organize my thought before speaking in meeting and end up rambling and losing the room attention.,0
I mod games as a hobby and that creative outlet has directly improved my programming and design thinking skills.,1
I treated learning as an ongoing obligation of professional life rather than something I had completed when formal education ended.,1
She keep saying she will start her goal next month and next month keep becoming next month for three year in a row.,0
I give feedback on work I not read properly and give comment that show I miss the main point of the document.,0
I took a two-week break from social media and the improvement in my focus and mood was significant enough to change my habits permanently.,1
He practice with app but never have real conversation and then when he try to speak he completely freeze and go silent.,0
"Writing my first research paper was overwhelming, but my supervisor was patient and helped me structure my thoughts clearly.",1
She not proofread important document and spelling error in client report undermine confidence in her professionalism.,0
"I kept a file of things that went well alongside my list of mistakes, and reviewing both together gave me a much more balanced picture.",1
I present my finding but I not prepare for the question and when professor ask me something I cannot answer anything.,0
He interrupt people when they speaking and not realize he doing it and people start avoiding to working with him.,0
I stayed in touch with former colleagues and found that those relationships consistently provided opportunity years later.,1
She not invest time in learning the new tool the team adopt and become liability because she slow everyone down.,0
I avoid own mistake by being very busy looking for mistake of other and never take real responsibility for outcome.,0
"I found that preparation time and execution time were not in competition but in proportion, and planned accordingly.",1
"I regularly reflected on whether my habits were serving the person I wanted to become, and adjusted the ones that were not.",1
I not getting enough rest and I think I manage fine but my work quality show the impact even though I not noticing.,0
I not challenge my own assumption and present recommendation base on belief that is incorrect from the beginning.,0
I volunteer to teach at a community center on weekends because I find the act of sharing knowledge genuinely fulfilling.,1
"I learned to sit with discomfort during creative blocks instead of switching tasks immediately, and the patience paid off repeatedly.",1
He negotiate salary but he not research the market rate first and he accept offer that is much below what he worth.,0
"I turned down an opportunity that sounded exciting because it conflicted with my actual long-term goals, and I do not regret it.",1
"I built every significant skill I have by showing up repeatedly when the early stages were awkward, uncomfortable, and unrewarding.",1
I take feedback personal and get defensive and the person who give it feel bad and stop giving me honest feedback again.,0
I promise myself I will wake up early every day but I always snooze the alarm and then feel bad about it after.,0
I starting many habit but not keeping any of them because I trying to change too many thing at the same time at once.,0
She come to presentation without knowing her own slide and have to read from screen and audience lose confidence in her.,0
She lose in the game and throw the controller and break it and then she feel bad about it but also cannot afford new one.,0
I try to do the task but I not have right skill so I pretend I know and produce something completely wrong and useless.,0
"I chose mentors whose values I respected as much as their achievements, and found that the guidance I received was more grounded as a result.",1
"I set a goal to read twenty-four books last year, read nineteen, and still consider that a meaningful achievement.",1
I invest all my saving in one stock because my friend say it will go up and then it go down very much and I lose everything.,0
She do the coding task but she make many mistake and the teacher say her that she doing it all wrong.,0
I try to order food in local language but I pronounce it so wrong that the waiter cannot understand what I saying.,0
"I built a reputation for being someone who made things better simply by being present, and I earned that reputation through consistent effort.",1
"I learned to distinguish between feedback about my work and feedback about me, and that distinction changed how I received criticism.",1
I find that the most interesting discoveries happen when something does not work the way the theory predicts it should.,1
I sang off-key in front of my class and the embarrassment pushed me to actually take proper vocal lessons afterward.,1
I changed my relationship with perfectionism by submitting things at ninety percent and using the feedback to reach a hundred.,1
I make assumption about what other want without asking and design whole solution around incorrect understanding.,0
Meeting people from completely different backgrounds while traveling humbled me and expanded my understanding of what is normal.,1
"I practiced writing more concisely by editing every draft to half its original length, and my communication improved noticeably.",1
I let perfect be enemy of good and wait too long to ship anything and competitor move while I still refining.,0
"I ran every significant email past a colleague before sending when the stakes were high, and they improved every single one.",1
He not attending the class regularly and then ask classmate for note but then also not reading them and fail everything.,0
"I was surprised when my hypothesis turned out to be completely wrong, but the data pointed somewhere far more interesting.",1
She keep comparing herself to her successful friend and it making her feel like she never doing enough in her life.,0
She promise delivery date that is not possible and then customer is very angry when order not arrive on time.,0
I take loan to invest because I think I will earning more than the interest but I not calculating the risk properly.,0
"I learned to read financial statements by applying them to companies I personally found interesting, and it made all the difference.",1
He make change to team process without consulting anyone and cause confusion and resentment among member.,0
He late to every meeting and not apologize and people start the meeting without him and he miss important context.,0
She optimize for looking busy rather than being impactful and her activity level is high but her contribution is low.,0
She give update that sound good but hide real problem until it too late to course correct effectively.,0
"I found that improving my listening improved every other communication skill I had, because it gave me better information to work with.",1
"I walk for thirty minutes every day regardless of how busy I am, and that commitment to movement has become my most valued routine.",1
"I have become better at saying no, and that boundary has created more space for the things I actually want to say yes to.",1
"I started saying what I needed clearly rather than hoping others would infer it, and the improvement in outcomes was immediate.",1
She not set clear expectation with her team and then disappointed when output not match what she have in her mind.,0
He book the wrong date for the hotel because he not reading the confirmation email carefully and lose a lot of money.,0
I not celebrate what going well and team feel like all they hear from me is what going wrong and they become demoralize.,0
He criticize colleague work publicly but never offer specific suggestion for how it could be improve or do better.,0
She check social media every five minute and she not realize how much time she is losing until she see the screen time.,0
"I practiced ending conversations on a specific agreed action rather than a vague intention, and found that execution rates improved.",1
I found that the fear I had about a difficult conversation was always worse than the actual conversation itself.,1
I used to think asking for help was a sign of weakness until I realized that the most capable people I know do it constantly.,1
"I worked with a difficult client early in my career and that experience taught me boundaries, communication, and professionalism simultaneously.",1
He argue his way is best without listening to alternative and the team stop suggesting improvement because he never accept.,0
I submit half-finished work because I ran out of time and I not communicating this to my reviewer before the submission.,0
I not involve the right people early enough in decision and have to redo consultation step after plan already develop.,0
I invested in my professional reputation every day through small reliable actions rather than trying to make a large impression occasionally.,1
She not label her work properly and when she come back to it after month she not understanding what she was doing.,0
She not keeping any record of her business expense and at tax time she not knowing how much she actually spending.,0
"I negotiated my salary for the first time and it was uncomfortable, but I got an increase that validated the discomfort.",1
He not exercise at all and he know it is bad but he keep saying he will start tomorrow and tomorrow never come.,0
"I changed my diet not to lose weight but to have more energy, and the difference in how I feel day-to-day has been significant.",1
I not practice new skill outside of work context and then expect to be fluent when I need to use it professionally.,0
He want to be more confident but he waiting until he feel ready and he not realizing that feeling never coming on its own.,0
She complain about her job every day but not doing anything to change it and just expect situation to improving by itself.,0
She not taking her medication regularly because she feel better and think she not need it anymore without asking doctor.,0
He collect the data wrong for whole month and when he realize it he have to starting from the very beginning again.,0
"My mother taught me that real cooking involves tasting constantly and adjusting, not just following steps mechanically.",1
"I used to memorize formulas without understanding them, but now I try to derive them so I actually remember why they work.",1
He exaggerate his experience so much that when they ask detail question he not able to answering any of them.,0
"I learned the names and context of everyone I worked with regularly, and the quality of collaboration improved immediately.",1
I prepared for a difficult negotiation by writing out every possible objection and my response to each one before the conversation.,1
I not connect with stakeholder before presenting and then face resistance that proper relationship would have prevent.,0
She write meeting minute but not distribute them until one week later when detail already forgotten by everyone.,0
She not writing any comment in her code and when she come back after two week she not understand what she write.,0
"I wrote a clear summary after every important meeting and shared it with all attendees, which eliminated a lot of follow-up confusion.",1
I admitted I was wrong in a disagreement with a client and it preserved the relationship far more effectively than defending my position would have.,1
"I stopped hiding my process and started sharing it openly, and the feedback I received from that transparency accelerated my growth.",1
She dress very casual for formal interview because she think it show confidence but interviewer think she not take it serious.,0
He respond to colleague message with one word and not give enough information to be useful and they have to ask again.,0
"I invested in my own wellbeing as seriously as I invested in my work, and found that it improved both.",1
She change the variable in the middle of the experiment without writing it down and then the result make no sense.,0
"I committed to documenting institutional knowledge rather than hoarding it, and the team became far less dependent on any single person.",1
I not recognize when I am the bottleneck and keep trying to do too much myself while team wait and lose momentum.,0
I not understand the problem fully before proposing solution and spend resource fixing symptom instead of cause.,0
He think cooking is very easy and not prepare anything and when guest arrive he realize he not know how to making anything.,0
She not reviewing her feedback from previous assignment and keep making the same mistake in every new one after it.,0
"I decided to understand the business context behind every technical decision I made, and it improved the quality of those decisions.",1
I learned that how I responded to criticism in public shaped the culture around me more than any instruction I gave privately.,1
I not make time to properly thank people who help me and slowly they become less willing to helping me again.,0
"I wrote out my assumptions before starting a project and checked them against reality at the halfway point, catching two significant errors.",1
"I measured the gap between what I said I valued and how I actually spent my time, and what I found motivated significant changes.",1
"I disagreed with my manager's approach, presented my reasoning clearly and calmly, and they changed their mind based on my argument.",1
I was spend all night for fix the bug but I not finding it and next morning my teammate find it in one minute.,0
I bring wrong currency because I not checking which country I going to and at airport I realize I have useless money.,0
I treat failure as personal judgment rather than useful information and the fear of it make me stop taking necessary risk.,0
I deploy my app but forget to set the environment variable and the whole thing is break and I feel very disappoint.,0
I not citing my source properly because I not knowing the correct format and my supervisor is very disappoint in me.,0
She confuse everyone in team because she change direction in the middle without explain why she making the change.,0
I copy my friend homework because I not have time to do it and then I not learning the topic and fail the next test.,0
She not read the whole requirement document before starting and then miss critical constraint that affect the design.,0
He not being clear about who is decision maker in project and everyone keep looking at each other when choice arise.,0
He micromanage his team because he not trusting them and then wonder why everyone unmotivate and looking for new job.,0
Cooking for my family taught me that following a recipe carefully is a form of respect for the people you are feeding.,1
"I created a simple dashboard to track my own performance metrics, and having the data visible weekly kept me far more accountable.",1
She put the dish in oven but forget to preheat it first and then wonder why the cooking time is not working correctly.,0
"I prepared a brief status update before every meeting where I was expected to report progress, and it made me look consistently reliable.",1
"I chose to understand before being understood in every important conversation, and it consistently led to better outcomes.",1
I deployed my first API last semester and the feeling of seeing it respond to a real request was incredibly satisfying.,1
I not track which version of document is current and send old version to client who already have the newer one.,0
I ruin my experiment because I adding the chemical in wrong order and I not read the instruction carefully before starting.,0
"I posted my creative work publicly despite feeling vulnerable about it, and the encouragement I received gave me real momentum.",1
She fail the exam because she memorize the formula but not understanding why they work and forget them in the middle.,0
"The best teacher I ever had asked more questions than she answered, and that approach changed how I engage with learning.",1
He not reading feedback comment carefully and doing re-submission with the same exact mistake that was already point out.,0
"I set a rule that I would read every email fully before replying, and the number of unnecessary back-and-forth exchanges dropped sharply.",1
I grew up watching my parents work very hard and that shaped my own relationship with discipline and long-term thinking.,1
"Learning to paint taught me that mistakes can be painted over, and that lesson has influenced how I think about life generally.",1
I committed to understanding the full context of decisions I inherited rather than changing them immediately based on incomplete information.,1
She ask too many question without trying to find answer first and her manager slowly stop having patience for the request.,0
"I structured my feedback as a specific observation followed by a concrete suggestion, and people received it much more openly.",1
I found a language exchange partner online and those conversations taught me more in one month than six months of textbook study.,1
"I made an error in a report I had already submitted, immediately told my supervisor, and corrected it before it caused problems.",1
"I noticed a pattern in the mistakes I kept making and traced it back to one root cause that, once addressed, prevented all of them.",1
"I rehearsed a difficult conversation with a friend playing the other person, and the actual conversation went much more smoothly.",1
He use jargon in communication with non-specialist and then frustrated they not understand his very simple point.,0
"I shared credit for a successful outcome publicly even though I had contributed the most to it, and it strengthened the whole team.",1
I skip the review step because I in hurry and then find error after it already send to hundred of people.,0
I try to contribute to open source but my pull request have so many mistake that I feel shame and delete my account.,0
I learned to read a room quickly and adjust the depth of my communication based on what the audience actually needed in the moment.,1
She not ask colleague preference before make decision that affect them and it create resentment that damage relationship.,0
"I burned the dish completely the first time, but I wrote down what went wrong and got it right on my third attempt.",1
I not finish strong in the project and leave loose end that someone else have to clean up after I moved on.,0
"I restructured how I took notes so that they were immediately useful for review, rather than just a record of what was said.",1
"I kept a vocabulary notebook and reviewed it on my commute every day, which made the habit sustainable without extra time.",1
He say he finish the task but it only half done and when manager check he realize he not doing the second half at all.,0
"I developed the habit of writing down my assumptions before starting, checking them mid-way, and reviewing them at the end.",1
He compare himself to professional player all the time and it making him feel that he never good enough to continuing.,0
"I was terrified before my first public presentation, but I focused on the message rather than the audience and it went well.",1
He treat every urgent request equally and not distinguish between what is actually critical versus just feels urgent.,0
She give a very negative feedback in front of everyone and the person feel humiliate and performance get worse after.,0
I learned to recognize when I was procrastinating due to fear of imperfection rather than lack of time or information.,1
"I learned that progress required both planning and willingness to abandon the plan when circumstances changed, and I built skill in both.",1
I update the shared file without telling team and overwrite change someone else make and their work is lost.,0
I not complete induction properly because I think I already know and then make basic mistake that induction would prevent.,0
I failed to complete a project on time and wrote a clear post-mortem that helped the whole team avoid the same situation.,1
"I kept promises to myself with the same commitment I kept promises to others, and my self-confidence grew accordingly.",1
He place his own comfort above effectiveness of team and make decision that protect him rather than serve the mission.,0
I not prepare backup when presenting and when projector fail I have nothing and the session become very awkward.,0
"Linear algebra felt completely abstract until I saw how it was used in machine learning, and then it became fascinating.",1
I give three different person three different answer for same question because I not have consistent information.,0
I not investing in skill development and then surprise when colleague who do invest get promoted instead of me.,0
She go to foreign country and not try to speak the local language because she scared of making mistake and embarrass herself.,0
I learned that being genuinely helpful to others was the most reliable way to build professional credibility over time.,1
I spent a year mentoring a younger student and got far more out of that relationship than I expected to give.,1
I learned that being consistently reliable was a more powerful professional asset than being occasionally brilliant.,1
I asked a mentor what they wished they had known at my stage and then actually followed through on most of what they told me.,1
"I planned a very detailed itinerary for my first trip abroad, and then abandoned most of it once I arrived, and that was fine.",1
I started a habit of reviewing my week every Sunday evening and it changed how intentional my following week became.,1
I stopped comparing my drawings to professional artists and started comparing them to my drawings from six months ago instead.,1
She give deadline without checking if team have capacity and then blame them when they not able to meet her expectation.,0
I tore a muscle during training and the recovery taught me more about patience and listening to my body than anything else.,1
He try to solve problem by himself without asking anyone and waste many day before finally admit he need help.,0
She agree with everyone in meeting to avoid conflict but then have no clear direction and team move in different way.,0
She ask for help but not give enough context and the person helping her spend most of time trying to understand.,0
"I recognized when I was operating from ego rather than values, and the recognition allowed me to course correct before making things worse.",1
I skip the foundational chapter because it look easy and then the advance topic confuse me because I missing the base.,0
I not match my communication style to situation and use casual tone in formal context which look unprofessional.,0
I know I should vote but I feel my vote not matter and I stay home and then complain about the result afterward.,0
I not communicate clearly what I need and then frustrated when what I receive is not what I have in my head.,0
I not good at the mental calculation and when teacher ask me to do it in front of class I become very nerve.,0
He give vague answer in performance review because he not want difficult conversation and employee leave confused.,0
"I reviewed every contract carefully before signing it, no matter how long it was, and that habit saved me from two bad agreements.",1
"I watched foreign films without subtitles once I reached an intermediate level, and the immersion accelerated my progress significantly.",1
I learned to recognize the feeling of being on the edge of my competence as the feeling of actual growth in progress.,1
"I submitted work that I knew was not my best because the deadline was real, and I was transparent about that with my reviewer.",1
I not tailor my message for different audience and give same technical explanation to executive who confuse by it.,0
He spend three hour on one problem and still get wrong answer and he very disappoint and say he hate mathematics.,0
I spent too long trying to be who others expected me to be before I understood the cost of that approach.,1
I not build in buffer time when planning and any small delay make the whole schedule collapse immediately.,0
"I volunteered to lead a project I was not fully qualified for, knowing I would grow into it, and I did.",1
My experiment failed three times before I realized I had been measuring the wrong variable the whole time.,1
She not clearly label the version of document she is sending and recipient open wrong file and respond to old information.,0
I not practice self-awareness about my own weaknesses and keep being surprise by the same feedback repeatedly.,0
He give estimate without any buffer and when unexpected thing happen the project is immediately behind schedule.,0
I study grammar rule but I not knowing when I should applying them because the rule have too many exception.,0
"I chose to take full ownership of a failure that was shared, and the trust I built by doing so was worth far more than the credit.",1
I keep repeating the point I already make because I feel it not being hearing instead of asking why and listening.,0
I presented my research at a small conference last year and the questions from the audience genuinely improved my thinking.,1
"I chose to be curious about failure rather than ashamed of it, and that mindset change accelerated my improvement considerably.",1
She take too long to make decision and by the time she decide the opportunity already pass and is no longer available.,0
"I focused on getting slightly better each day rather than on making dramatic changes, and the compounding effect was significant.",1
I stopped comparing my beginning to other people's middles and started comparing my current self to who I was six months ago.,1
I took a long view on professional relationships and found that being genuinely helpful without immediate expectation of return paid dividends.,1
"I spent three nights debugging that function, and honestly, when it finally worked, I felt genuinely proud of myself.",1
He promise to help in community event but cancel last minute many time and people stop asking him to participate.,0
